foid,flid,oid,height,width,ocr
72,22,18,210.30932617188,190.53701782227,
73,22,18,88.083374023438,161.44369506836,
74,22,49,146.07952880859,422.88549804688,
75,22,52,279.64791870117,174.39511108398,
76,23,12,119.12445068359,122.13153076172,
77,24,43,170.89346313477,272.04272460938,
78,24,43,194.32559204102,272.30139160156,
79,25,10,219.67822265625,147.05613708496,
80,25,10,205.34512329102,163.19514465332,
81,25,10,90.155212402344,110.45559692383,
82,25,53,142.83909606934,98.344161987305,519
83,26,33,68.454254150391,52.155578613281,
84,26,33,77.671844482422,54.967529296875,
85,26,33,72.66357421875,50.915893554688,
86,27,12,131.03526306152,79.702056884766,
87,27,12,28.122375488281,92.818115234375,
88,27,15,45.024719238281,90.336273193359,
89,27,15,47.535522460938,87.537750244141,
90,27,15,46.893310546875,86.315093994141,
91,27,15,53.981018066406,97.774475097656,
92,27,15,51.800079345703,99.767395019531,
93,27,49,28.357543945312,144.16192626953,
94,27,49,27.279235839844,141.40759277344,
95,27,49,28.304626464844,136.0285949707,
96,27,49,25.746459960938,141.13195800781,
97,27,49,26.552856445312,145.8157043457,
98,27,50,28.775329589844,110.27728271484,
99,27,50,25.101531982422,108.85488891602,
100,27,53,54.0224609375,64.897705078125,
101,27,53,53.058380126953,69.488037109375,
102,27,53,58.502624511719,70.995452880859,E
103,28,35,152.57202148438,81.091583251953,
104,28,49,26.147369384766,83.560302734375,
105,28,49,26.298217773438,97.157409667969,
106,28,49,26.08479309082,85.762237548828,
107,29,6,37.29216003418,39.214050292969,
108,29,6,36.337051391602,43.616470336914,
109,29,6,32.989608764648,36.198959350586,
110,29,49,26.9306640625,149.40686035156,
111,29,49,26.595916748047,147.19485473633,
112,29,50,25.047607421875,134.12936401367,
113,29,50,25.082244873047,126.03414916992,
114,29,50,32.679809570312,107.75234985352,
115,29,50,30.553680419922,107.6198425293,
116,29,52,56.378570556641,69.996246337891,
117,30,12,58.372863769531,81.147155761719,
118,30,12,63.938690185547,92.768768310547,
119,30,15,43.729858398438,73.412078857422,
120,30,15,50.881744384766,78.138549804688,
121,30,49,27.223114013672,100.19134521484,
122,30,49,25.237152099609,96.318878173828,
123,30,49,27.491302490234,112.08749389648,
124,30,49,24.541900634766,95.668060302734,
125,30,50,25.463989257812,78.550598144531,
126,30,50,26.290191650391,117.88571166992,
127,30,50,25.11962890625,71.096893310547,
128,30,50,25.973617553711,125.3171081543,
129,30,50,26.667236328125,91.836212158203,
130,30,50,23.797912597656,115.02572631836,
131,30,50,33.713073730469,123.91674804688,
132,30,50,26.070678710938,113.64889526367,
133,30,50,25.475494384766,118.21939086914,
134,30,50,26.67919921875,114.56512451172,
135,30,50,28.747619628906,77.445190429688,
136,31,30,103.47647094727,78.830261230469,
137,31,46,159.77592468262,194.38827514648,
138,31,46,99.999893188477,142.40017700195,
139,31,46,89.666473388672,170.09243774414,
140,31,52,86.530822753906,112.73767089844,
141,32,26,246.78057861328,165.90412902832,
142,32,26,228.65682983398,190.21694946289,
143,33,27,77.607086181641,148.15730285645,
144,33,27,81.893493652344,136.05545043945,
145,33,27,125.74700927734,104.40693664551,
146,33,27,89.767456054688,144.25744628906,
147,33,27,64.808135986328,154.26188659668,
148,33,68,158.40411376953,63.574951171875,
149,33,68,122.37796020508,74.619903564453,
150,34,27,94.397613525391,195.59811401367,
151,34,27,94.672653198242,145.45858764648,
152,34,27,116.24169921875,145.86529541016,
153,35,18,116.41567993164,115.77612304688,
154,35,95,79.695404052734,61.978591918945,
155,35,95,76.693023681641,61.069000244141,
156,35,97,62.166229248047,77.491012573242,
157,35,97,66.842742919922,72.141860961914,
158,35,97,56.942489624023,74.219268798828,
159,35,97,66.699615478516,74.569946289062,
160,36,43,129.30032348633,402.36462402344,
161,36,70,108.72640991211,136.33743286133,
162,36,70,92.127166748047,128.85046386719,
163,36,70,109.94375610352,136.84887695312,
164,36,70,105.31857299805,157.23425292969,
165,36,71,136.52645874023,392.30010986328,
166,36,71,132.99215698242,369.31008911133,
167,36,90,43.216400146484,73.463333129883,
168,36,90,46.019897460938,69.556976318359,
169,36,90,33.823669433594,64.058990478516,
170,36,90,45.220336914062,87.869216918945,
171,37,72,156.50479125977,266.45901489258,
172,38,22,100.95840454102,129.50469970703,
173,38,22,108.90600585938,146.77041625977,
174,38,22,108.77243041992,143.9963684082,
175,38,23,130.43759155273,136.34805297852,
176,38,23,100.46237182617,158.02209472656,
177,38,23,108.53872680664,127.24807739258,
178,38,23,99.777038574219,145.86645507812,
179,38,23,115.02456665039,129.54544067383,
180,38,23,124.8173828125,154.57650756836,
181,38,69,40.905944824219,48.838470458984,
182,38,69,35.525756835938,51.023406982422,
183,39,74,164.86715698242,122.73022460938,
184,39,74,196.49746704102,143.64520263672,
185,40,73,114.49517822266,111.64529418945,
186,40,73,83.403137207031,118.50643920898,
187,40,73,81.801513671875,105.00244140625,
188,40,73,86.028656005859,120.64633178711,
189,40,73,94.130798339844,120.89215087891,
190,40,73,130.31842041016,84.73193359375,
191,40,73,142.54183959961,116.51327514648,
192,40,73,115.95651245117,88.959350585938,
193,40,73,114.17456054688,120.68127441406,
194,40,73,127.66345214844,90.477905273438,
195,40,73,122.90127563477,144.74969482422,
196,40,73,101.19714355469,107.28073120117,
197,41,70,77.235778808594,118.3977355957,
198,41,73,114.01696777344,214.00521850586,
199,42,4,103.46524047852,61.602233886719,
200,42,4,91.019348144531,57.1435546875,
201,42,4,101.04486083984,62.796447753906,
202,42,4,92.197113037109,67.972595214844,
203,42,4,87.581665039062,58.314971923828,
204,42,4,94.914276123047,51.772415161133,
205,42,4,95.432678222656,58.695022583008,
206,42,4,99.693481445312,63.999786376953,
207,42,4,76.839233398438,68.371459960938,
208,42,4,89.750778198242,63.5009765625,
209,42,4,192.11688232422,56.825744628906,
